,Both Sets,ack_present,ack_absent,Percent Present
Herz,11,2.0,9.0,0.18181818181818182
Epidemiologic reviews,11,11.0,0.0,1.0
American journal of clinical pathology,11,8.0,3.0,0.7272727272727273
Rejuvenation research,11,0.0,11.0,0.0
Cambridge quarterly of healthcare ethics : CQ : the international journal of healthcare ethics committees,11,0.0,11.0,0.0
Current psychiatry reviews,11,11.0,0.0,1.0
Integrative zoology,11,0.0,11.0,0.0
Cell & chromosome,11,8.0,3.0,0.7272727272727273
Zoonoses and public health,11,10.0,1.0,0.9090909090909091
Journal of bioenergetics and biomembranes,11,10.0,1.0,0.9090909090909091
Software and systems modeling,11,9.0,2.0,0.8181818181818182
Social theory & health : STH,11,8.0,3.0,0.7272727272727273
"Health policy (Amsterdam, Netherlands)",11,10.0,1.0,0.9090909090909091
Atmospheric chemistry and physics,11,11.0,0.0,1.0
Journal of mathematical analysis and applications,11,8.0,3.0,0.7272727272727273
Behavioural processes,11,11.0,0.0,1.0
Visual cognition,11,4.0,7.0,0.36363636363636365
Maturitas,11,6.0,5.0,0.5454545454545454
Journal of anxiety disorders,11,10.0,1.0,0.9090909090909091
Biosensors & bioelectronics,11,11.0,0.0,1.0
Ecological entomology,11,11.0,0.0,1.0
Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry,11,9.0,2.0,0.8181818181818182
Archives of disease in childhood. Education and practice edition,11,3.0,8.0,0.2727272727272727
Engineering in life sciences,11,10.0,1.0,0.9090909090909091
The Journal of wildlife management,11,10.0,1.0,0.9090909090909091
CNS spectrums,11,0.0,11.0,0.0
Journal of obesity & weight loss therapy,11,11.0,0.0,1.0
Journal of traumatic stress,11,0.0,11.0,0.0
Circulation. Heart failure,11,0.0,11.0,0.0
Annals of dyslexia,11,5.0,6.0,0.45454545454545453
Journal of child neurology,11,10.0,1.0,0.9090909090909091
Clinical radiology,11,10.0,1.0,0.9090909090909091
Wiley interdisciplinary reviews. Cognitive science,11,7.0,4.0,0.6363636363636364
Trends in ecology & evolution,11,10.0,1.0,0.9090909090909091
International journal of nursing studies,11,7.0,4.0,0.6363636363636364
Molecular diversity,11,11.0,0.0,1.0
Nitric oxide : biology and chemistry,11,11.0,0.0,1.0
Current obstetrics and gynecology reports,11,5.0,6.0,0.45454545454545453
Journal of the Royal Army Medical Corps,11,5.0,6.0,0.45454545454545453
Crisis,11,8.0,3.0,0.7272727272727273
"Acta crystallographica. Section B, Structural science",11,10.0,1.0,0.9090909090909091
"Sensors and actuators. B, Chemical",11,11.0,0.0,1.0
Cognitive behaviour therapy,11,10.0,1.0,0.9090909090909091
Annals of epidemiology,11,8.0,3.0,0.7272727272727273
Clinical reviews in allergy & immunology,11,5.0,6.0,0.45454545454545453
Expert review of molecular diagnostics,11,10.0,1.0,0.9090909090909091
Annals of thoracic and cardiovascular surgery : official journal of the Association of Thoracic and Cardiovascular Surgeons of Asia,11,0.0,11.0,0.0
Intermetallics,11,11.0,0.0,1.0
Surgical innovation,11,5.0,6.0,0.45454545454545453
Autonomic neuroscience : basic & clinical,11,10.0,1.0,0.9090909090909091
GeroScience,11,9.0,2.0,0.8181818181818182
British dental journal,11,9.0,2.0,0.8181818181818182
Aphasiology,11,1.0,10.0,0.09090909090909091
International journal of rehabilitation research. Internationale Zeitschrift fur Rehabilitationsforschung. Revue internationale de recherches de readaptation,11,11.0,0.0,1.0
Biosemiotics,11,6.0,5.0,0.5454545454545454
Spinal cord series and cases,11,9.0,2.0,0.8181818181818182
Applied petrochemical research,10,10.0,0.0,1.0
"Acta crystallographica. Section C, Structural chemistry",10,9.0,1.0,0.9
International journal of physical medicine & rehabilitation,10,10.0,0.0,1.0
"Birth defects research. Part B, Developmental and reproductive toxicology",10,6.0,4.0,0.6
Community dentistry and oral epidemiology,10,9.0,1.0,0.9
Tobacco prevention & cessation,10,10.0,0.0,1.0
Psychological review,10,3.0,7.0,0.3
European thyroid journal,10,5.0,5.0,0.5
Biological theory,10,6.0,4.0,0.6
Psychological injury and law,10,6.0,4.0,0.6
Nutrition and cancer,10,6.0,4.0,0.6
Journal of drug and alcohol research,10,10.0,0.0,1.0
Toxicology,10,8.0,2.0,0.8
Experimental psychology,10,9.0,1.0,0.9
Environmental science & technology letters,10,8.0,2.0,0.8
Current bladder dysfunction reports,10,9.0,1.0,0.9
"Cerebrovascular diseases (Basel, Switzerland)",10,8.0,2.0,0.8
Pathology international,10,8.0,2.0,0.8
Plant pathology,10,10.0,0.0,1.0
"Drugs (Abingdon, England)",10,7.0,3.0,0.7
Musculoskeletal care,10,9.0,1.0,0.9
Veterinary surgery : VS,10,6.0,4.0,0.6
Insect biochemistry and molecular biology,10,10.0,0.0,1.0
EURASIP journal on advances in signal processing,10,10.0,0.0,1.0
History of psychiatry,10,5.0,5.0,0.5
Journal of toxicology and environmental health. Part A,10,4.0,6.0,0.4
Computer physics communications,10,9.0,1.0,0.9
Neurorehabilitation and neural repair,10,7.0,3.0,0.7
Journal of community medicine & health education,10,10.0,0.0,1.0
Telemedicine journal and e-health : the official journal of the American Telemedicine Association,10,0.0,10.0,0.0
Statistics in biosciences,10,6.0,4.0,0.6
Wiley interdisciplinary reviews. Nanomedicine and nanobiotechnology,10,6.0,4.0,0.6
High altitude medicine & biology,10,0.0,10.0,0.0
Hematological oncology,10,6.0,4.0,0.6
Endeavour,10,7.0,3.0,0.7
Journal of cleaner production,10,10.0,0.0,1.0
Applied entomology and zoology,10,10.0,0.0,1.0
Eye & contact lens,10,4.0,6.0,0.4
Cochlear implants international,10,5.0,5.0,0.5
Journal of the American Medical Directors Association,10,4.0,6.0,0.4
Metallomics : integrated biometal science,10,10.0,0.0,1.0
European journal of personality,10,8.0,2.0,0.8
Bioresource technology,10,9.0,1.0,0.9
Eukaryotic cell,10,10.0,0.0,1.0
Biomaterials science,10,10.0,0.0,1.0
Thrombosis research,10,9.0,1.0,0.9
Journal of alloys and compounds,10,10.0,0.0,1.0
European psychiatry : the journal of the Association of European Psychiatrists,10,7.0,3.0,0.7
The journal of primary prevention,10,7.0,3.0,0.7
"Journal of polymer science. Part B, Polymer physics",10,10.0,0.0,1.0
Pastoral psychology,10,6.0,4.0,0.6
Trends in biotechnology,10,8.0,2.0,0.8
Organic electronics,10,10.0,0.0,1.0
Journal of neuropsychology,10,9.0,1.0,0.9
Microbiology and immunology,10,10.0,0.0,1.0
Current treatment options in infectious diseases,10,4.0,6.0,0.4
High blood pressure & cardiovascular prevention : the official journal of the Italian Society of Hypertension,10,8.0,2.0,0.8
"Microcirculation (New York, N.Y. : 1994)",10,9.0,1.0,0.9
Current opinion in behavioral sciences,10,9.0,1.0,0.9
Current neurovascular research,10,10.0,0.0,1.0
"Development, growth & differentiation",10,8.0,2.0,0.8
Computer aided surgery : official journal of the International Society for Computer Aided Surgery,10,5.0,5.0,0.5
ILAR journal,10,8.0,2.0,0.8
Neonatology,10,9.0,1.0,0.9
JPEN. Journal of parenteral and enteral nutrition,10,5.0,5.0,0.5
Biochemistry and molecular biology education : a bimonthly publication of the International Union of Biochemistry and Molecular Biology,10,5.0,5.0,0.5
International journal of gynecological pathology : official journal of the International Society of Gynecological Pathologists,10,4.0,6.0,0.4
Remote sensing,10,10.0,0.0,1.0
Journal of reward deficiency syndrome,10,10.0,0.0,1.0
Current directions in psychological science,10,6.0,4.0,0.6
Bio Systems,10,10.0,0.0,1.0
Evolution & development,10,10.0,0.0,1.0
Quality management in health care,10,0.0,10.0,0.0
"Media, culture, and society",10,3.0,7.0,0.3
Research in microbiology,10,9.0,1.0,0.9
Critical reviews in environmental science and technology,10,4.0,6.0,0.4
Journal of geophysical research. Biogeosciences,10,10.0,0.0,1.0
Bioscience and microflora,10,7.0,3.0,0.7
"Trees (Berlin, Germany : West)",10,10.0,0.0,1.0
Current opinion in nephrology and hypertension,10,0.0,10.0,0.0
Journal of burn care & research : official publication of the American Burn Association,10,1.0,9.0,0.1
Journal of cardiovascular imaging,10,0.0,10.0,0.0
The New England journal of medicine,10,10.0,0.0,1.0
Behavioural pharmacology,10,10.0,0.0,1.0
Biofouling,10,9.0,1.0,0.9
Child abuse & neglect,10,9.0,1.0,0.9
The international journal of medical robotics + computer assisted surgery : MRCAS,10,6.0,4.0,0.6
Clinical transplantation,10,7.0,3.0,0.7
Journal of sex research,10,6.0,4.0,0.6
Computer methods and programs in biomedicine,10,9.0,1.0,0.9
The Canadian journal of cardiology,10,4.0,6.0,0.4
The Lancet. Child & adolescent health,10,10.0,0.0,1.0
Current eye research,10,9.0,1.0,0.9
Medical mycology,10,7.0,3.0,0.7
Journal of translational science,10,8.0,2.0,0.8
The journal of forensic psychiatry & psychology,10,6.0,4.0,0.6
International journal of occupational and environmental health,10,7.0,3.0,0.7
Journal of organizational behavior,10,6.0,4.0,0.6
Remote sensing of environment,10,8.0,2.0,0.8
Australasian physical & engineering sciences in medicine,10,7.0,3.0,0.7
Combinatorial chemistry & high throughput screening,10,7.0,3.0,0.7
Current opinion in critical care,10,0.0,10.0,0.0
Journal of experimental child psychology,10,10.0,0.0,1.0
Worldviews on evidence-based nursing,10,2.0,8.0,0.2
Journal of geophysical research. Earth surface,9,9.0,0.0,1.0
The American sociologist,9,5.0,4.0,0.5555555555555556
Water history,9,7.0,2.0,0.7777777777777778
The Journal of cardiovascular nursing,9,2.0,7.0,0.2222222222222222
European geriatric medicine,9,5.0,4.0,0.5555555555555556
Global environmental change : human and policy dimensions,9,7.0,2.0,0.7777777777777778
Journal of pharmaceutical and biomedical analysis,9,9.0,0.0,1.0
Small group research,9,1.0,8.0,0.1111111111111111
Journal of pharmacological and toxicological methods,9,8.0,1.0,0.8888888888888888
British poultry science,9,7.0,2.0,0.7777777777777778
Biotechnology and applied biochemistry,9,6.0,3.0,0.6666666666666666
Journal of social policy,9,7.0,2.0,0.7777777777777778
Journal of automated reasoning,9,7.0,2.0,0.7777777777777778
"International journal of hyperthermia : the official journal of European Society for Hyperthermic Oncology, North American Hyperthermia Group",9,6.0,3.0,0.6666666666666666
International journal of hygiene and environmental health,9,9.0,0.0,1.0
Annals of work exposures and health,9,7.0,2.0,0.7777777777777778
Journal of sleep research,9,8.0,1.0,0.8888888888888888
Inflammation & allergy drug targets,9,9.0,0.0,1.0
Cold Spring Harbor symposia on quantitative biology,9,9.0,0.0,1.0
Geoderma,9,9.0,0.0,1.0
Journal of environmental management,9,9.0,0.0,1.0
Health equity,9,1.0,8.0,0.1111111111111111
Cancer cytopathology,9,1.0,8.0,0.1111111111111111
Current sexual health reports,9,3.0,6.0,0.3333333333333333
Journal of statistical physics,9,9.0,0.0,1.0
Medicinal research reviews,9,9.0,0.0,1.0
Cancer nursing,9,8.0,1.0,0.8888888888888888
Clinical otolaryngology : official journal of ENT-UK ; official journal of Netherlands Society for Oto-Rhino-Laryngology & Cervico-Facial Surgery,9,3.0,6.0,0.3333333333333333
Pain practice : the official journal of World Institute of Pain,9,7.0,2.0,0.7777777777777778
Journal of stored products research,9,7.0,2.0,0.7777777777777778
Practical radiation oncology,9,7.0,2.0,0.7777777777777778
Journal of telemedicine and telecare,9,3.0,6.0,0.3333333333333333
Journal of innate immunity,9,9.0,0.0,1.0
International journal of food microbiology,9,8.0,1.0,0.8888888888888888
Trends in molecular medicine,9,9.0,0.0,1.0
International journal of cosmetic science,9,9.0,0.0,1.0
Journal of family and economic issues,9,6.0,3.0,0.6666666666666666
Current opinion in chemical biology,9,8.0,1.0,0.8888888888888888
Biomass & bioenergy,9,9.0,0.0,1.0
Progress in neurobiology,9,9.0,0.0,1.0
Biometrics,9,8.0,1.0,0.8888888888888888
Annals of human biology,9,8.0,1.0,0.8888888888888888
Gynecologic oncology,9,5.0,4.0,0.5555555555555556
Palgrave communications,9,9.0,0.0,1.0
Journal of materials science,9,9.0,0.0,1.0
Expert opinion on biological therapy,9,5.0,4.0,0.5555555555555556
Inorganica chimica acta,9,9.0,0.0,1.0
Clinical medicine. Pediatrics,9,7.0,2.0,0.7777777777777778
The clinical respiratory journal,9,6.0,3.0,0.6666666666666666
Journal of industrial ecology,9,9.0,0.0,1.0
Journal of power sources,9,9.0,0.0,1.0
Receptors & clinical investigation,9,7.0,2.0,0.7777777777777778
Journal of physics. Conference series,9,8.0,1.0,0.8888888888888888
Journal of depression & anxiety,9,9.0,0.0,1.0
Carbohydrate polymers,9,9.0,0.0,1.0
Journal of systems and integrative neuroscience,9,9.0,0.0,1.0
Science education,9,8.0,1.0,0.8888888888888888
Surface & coatings technology,9,9.0,0.0,1.0
Microscopy research and technique,9,6.0,3.0,0.6666666666666666
Drug testing and analysis,9,5.0,4.0,0.5555555555555556
The British journal of occupational therapy,9,7.0,2.0,0.7777777777777778
Clinical social work journal,9,5.0,4.0,0.5555555555555556
Cellular immunology,9,9.0,0.0,1.0
Seminars in arthritis and rheumatism,9,6.0,3.0,0.6666666666666666
British microbiology research journal,9,9.0,0.0,1.0
Clinical & experimental ophthalmology,9,5.0,4.0,0.5555555555555556
Earth's future,9,9.0,0.0,1.0
Regenerative medicine,9,4.0,5.0,0.4444444444444444
Environmental modelling & software : with environment data news,9,9.0,0.0,1.0
Infant behavior & development,9,9.0,0.0,1.0
Journal of orofacial orthopedics = Fortschritte der Kieferorthopadie : Organ/official journal Deutsche Gesellschaft fur Kieferorthopadie,9,7.0,2.0,0.7777777777777778
The Journal of chemical physics,9,9.0,0.0,1.0
Journal of periodontal research,9,8.0,1.0,0.8888888888888888
The Journal of thoracic and cardiovascular surgery,9,2.0,7.0,0.2222222222222222
Journal of public health policy,9,8.0,1.0,0.8888888888888888
Ticks and tick-borne diseases,9,9.0,0.0,1.0
Clinical and applied thrombosis/hemostasis : official journal of the International Academy of Clinical and Applied Thrombosis/Hemostasis,9,8.0,1.0,0.8888888888888888
Environmental chemistry letters,9,5.0,4.0,0.5555555555555556
Plasmid,9,9.0,0.0,1.0
Clinical implant dentistry and related research,9,8.0,1.0,0.8888888888888888
IUBMB life,9,8.0,1.0,0.8888888888888888
Global ecology and biogeography : a journal of macroecology,9,9.0,0.0,1.0
School mental health,9,9.0,0.0,1.0
"Interdisciplinary sciences, computational life sciences",9,8.0,1.0,0.8888888888888888
Autoimmunity,9,7.0,2.0,0.7777777777777778
Human immunology,9,9.0,0.0,1.0
Cancer investigation,9,3.0,6.0,0.3333333333333333
Oral radiology,9,5.0,4.0,0.5555555555555556
Clinical and experimental dermatology,9,7.0,2.0,0.7777777777777778
Plant physiology and biochemistry : PPB,9,9.0,0.0,1.0
"Geomorphology (Amsterdam, Netherlands)",9,9.0,0.0,1.0
Zoological journal of the Linnean Society,9,9.0,0.0,1.0
Monoclonal antibodies in immunodiagnosis and immunotherapy,9,0.0,9.0,0.0
"Light, science & applications",9,9.0,0.0,1.0
A&A practice,9,0.0,9.0,0.0
Natural product reports,9,9.0,0.0,1.0
European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,9,8.0,1.0,0.8888888888888888
Advances in difference equations,9,9.0,0.0,1.0
Therapeutic advances in ophthalmology,9,2.0,7.0,0.2222222222222222
Journal of biophotonics,9,5.0,4.0,0.5555555555555556
Current clinical pharmacology,9,8.0,1.0,0.8888888888888888
Sport sciences for health,9,4.0,5.0,0.4444444444444444
Journal of innovative optical health sciences,9,9.0,0.0,1.0
British journal of guidance & counselling,9,2.0,7.0,0.2222222222222222
Journal of biochemistry,9,7.0,2.0,0.7777777777777778
Journal of adolescence,9,8.0,1.0,0.8888888888888888
Rare cancers and therapy,9,9.0,0.0,1.0
Journal of health psychology,9,4.0,5.0,0.4444444444444444
Psychology and psychotherapy,9,3.0,6.0,0.3333333333333333
Physical therapy,9,6.0,3.0,0.6666666666666666
Journal for labour market research,9,9.0,0.0,1.0
Kidney & blood pressure research,9,9.0,0.0,1.0
CNS & neurological disorders drug targets,9,9.0,0.0,1.0
Seizure,9,8.0,1.0,0.8888888888888888
"Pediatric allergy, immunology, and pulmonology",9,0.0,9.0,0.0
European journal of medical genetics,9,6.0,3.0,0.6666666666666666
Journal of physiology and biochemistry,9,8.0,1.0,0.8888888888888888
Journal of cardiovascular pharmacology and therapeutics,9,5.0,4.0,0.5555555555555556
Early intervention in psychiatry,9,8.0,1.0,0.8888888888888888
Journal of bronchology & interventional pulmonology,9,4.0,5.0,0.4444444444444444
Physiological measurement,9,9.0,0.0,1.0
Journal of oral pathology & medicine : official publication of the International Association of Oral Pathologists and the American Academy of Oral Pathology,9,9.0,0.0,1.0
The Annals of applied biology,9,9.0,0.0,1.0
Journal of mass spectrometry : JMS,9,9.0,0.0,1.0
"Earth and space science (Hoboken, N.J.)",9,9.0,0.0,1.0
Journal of developmental and behavioral pediatrics : JDBP,9,6.0,3.0,0.6666666666666666
The Sociological review,9,6.0,3.0,0.6666666666666666
Probiotics and antimicrobial proteins,9,7.0,2.0,0.7777777777777778
Tropical plant biology,9,9.0,0.0,1.0
Journal of morphology,9,8.0,1.0,0.8888888888888888
The Journal of nutritional biochemistry,8,7.0,1.0,0.875
Journal of medical ultrasonics (2001),8,3.0,5.0,0.375
"Palaeogeography, palaeoclimatology, palaeoecology",8,8.0,0.0,1.0
"Nucleosides, nucleotides & nucleic acids",8,1.0,7.0,0.125
Journal of cognitive neuroscience,8,6.0,2.0,0.75
Evolutionary anthropology,8,5.0,3.0,0.625
"Geriatrics (Basel, Switzerland)",8,8.0,0.0,1.0
Herzschrittmachertherapie & Elektrophysiologie,8,1.0,7.0,0.125
Journal of systems chemistry,8,7.0,1.0,0.875
Respiratory physiology & neurobiology,8,8.0,0.0,1.0
Ultrasound international open,8,3.0,5.0,0.375
Journal of endourology,8,0.0,8.0,0.0
Current nutrition and food science,8,8.0,0.0,1.0
"Journal of cognitive psychology (Hove, England)",8,2.0,6.0,0.25
Childhood obesity (Print),8,0.0,8.0,0.0
Current opinion in anaesthesiology,8,0.0,8.0,0.0
Current dermatology reports,8,6.0,2.0,0.75
Social policy and society : a journal of the Social Policy Association,8,6.0,2.0,0.75
Work and stress,8,5.0,3.0,0.625
Journal of inorganic biochemistry,8,8.0,0.0,1.0
Hydrobiologia,8,8.0,0.0,1.0
Social policy & administration,8,8.0,0.0,1.0
Mini reviews in medicinal chemistry,8,7.0,1.0,0.875
ISPRS journal of photogrammetry and remote sensing : official publication of the International Society for Photogrammetry and Remote Sensing (ISPRS),8,7.0,1.0,0.875
JACC. Clinical electrophysiology,8,6.0,2.0,0.75
Drug development research,8,7.0,1.0,0.875
Current opinion in ophthalmology,8,0.0,8.0,0.0
Photonics,8,8.0,0.0,1.0
Computers & operations research,8,8.0,0.0,1.0
Journal of clinical lipidology,8,7.0,1.0,0.875
Current organic chemistry,8,8.0,0.0,1.0
Wound repair and regeneration : official publication of the Wound Healing Society [and] the European Tissue Repair Society,8,8.0,0.0,1.0
Acta psychologica,8,7.0,1.0,0.875
Advances in bioscience and biotechnology (Print),8,7.0,1.0,0.875
Journal of gerontology & geriatric research,8,7.0,1.0,0.875
Frontiers in physics,8,8.0,0.0,1.0
Palaeobiodiversity and palaeoenvironments,8,8.0,0.0,1.0
Journal of clinical psychology in medical settings,8,7.0,1.0,0.875
The Journal of research in crime and delinquency,8,2.0,6.0,0.25
European eating disorders review : the journal of the Eating Disorders Association,8,5.0,3.0,0.625
"Clinical biomechanics (Bristol, Avon)",8,6.0,2.0,0.75
Laterality,8,6.0,2.0,0.75
Evolution and human behavior : official journal of the Human Behavior and Evolution Society,8,7.0,1.0,0.875
Protist,8,8.0,0.0,1.0
Proceedings of the VLDB Endowment. International Conference on Very Large Data Bases,8,6.0,2.0,0.75
Journal of adult development,8,4.0,4.0,0.5
Games for health journal,8,0.0,8.0,0.0
The British journal of social psychology,8,5.0,3.0,0.625
"Childhood (Copenhagen, Denmark)",8,6.0,2.0,0.75
Journal of neurology & neuromedicine,8,8.0,0.0,1.0
Critical pathways in cardiology,8,0.0,8.0,0.0
Current opinion in supportive and palliative care,8,0.0,8.0,0.0
Review of educational research,8,0.0,8.0,0.0
Brain tumor pathology,8,5.0,3.0,0.625
Ecological indicators,8,6.0,2.0,0.75
Current vascular pharmacology,8,8.0,0.0,1.0
Diabetes research and clinical practice,8,7.0,1.0,0.875
"Journal of cardiovascular medicine (Hagerstown, Md.)",8,0.0,8.0,0.0
Environmental entomology,8,8.0,0.0,1.0
Current hepatology reports,8,2.0,6.0,0.25
JNCI cancer spectrum,8,1.0,7.0,0.125
Nordic journal of psychiatry,8,7.0,1.0,0.875
Nutritional neuroscience,8,7.0,1.0,0.875
Quarterly reviews of biophysics,8,8.0,0.0,1.0
International journal of statistics in medical research,8,7.0,1.0,0.875
Journal of laparoendoscopic & advanced surgical techniques. Part A,8,0.0,8.0,0.0
AJOB neuroscience,8,0.0,8.0,0.0
Security dialogue,8,7.0,1.0,0.875
Clinical pediatrics,8,5.0,3.0,0.625
Trends in cancer,8,5.0,3.0,0.625
Current sociology. La Sociologie contemporaine,8,4.0,4.0,0.5
International journal of food sciences and nutrition,8,4.0,4.0,0.5
Journal of orthodontics,8,4.0,4.0,0.5
Developmental neuropsychology,8,3.0,5.0,0.375
Solid state ionics,8,8.0,0.0,1.0
Medical anthropology,8,6.0,2.0,0.75
Clinical spine surgery,8,2.0,6.0,0.25
Journal of applied philosophy,8,3.0,5.0,0.375
Journal of neurologic physical therapy : JNPT,8,5.0,3.0,0.625
Journal of clinical & experimental cardiology,8,7.0,1.0,0.875
"Birth (Berkeley, Calif.)",8,6.0,2.0,0.75
BioNanoScience,8,6.0,2.0,0.75
Journal of vascular research,8,8.0,0.0,1.0
Health,8,7.0,1.0,0.875
Journal of the history of the behavioral sciences,8,8.0,0.0,1.0
New biotechnology,8,7.0,1.0,0.875
Entomologia experimentalis et applicata,8,8.0,0.0,1.0
Journal of helminthology,8,3.0,5.0,0.375
"Cytometry. Part B, Clinical cytometry",8,7.0,1.0,0.875
"Social sciences (Basel, Switzerland)",8,8.0,0.0,1.0
The American journal of psychiatry,8,7.0,1.0,0.875
Epidemiology and psychiatric sciences,8,6.0,2.0,0.75
NeuroRehabilitation,8,5.0,3.0,0.625
Clinical psychology review,8,4.0,4.0,0.5
Pathology,8,6.0,2.0,0.75
Current drug metabolism,8,8.0,0.0,1.0
Toxicology and applied pharmacology,8,7.0,1.0,0.875
Sexuality research & social policy : journal of NSRC : SR & SP,8,8.0,0.0,1.0
Zeitschrift fur Gerontologie und Geriatrie,8,6.0,2.0,0.75
International journal of climatology : a journal of the Royal Meteorological Society,8,8.0,0.0,1.0
Orthodontics & craniofacial research,8,8.0,0.0,1.0
Research letters in biochemistry,8,6.0,2.0,0.75
Evidence-based preclinical medicine,8,4.0,4.0,0.5
Journal of integrated pest management,8,8.0,0.0,1.0
Computer methods in applied mechanics and engineering,8,8.0,0.0,1.0
Applied spectroscopy,8,5.0,3.0,0.625
Microfluidics and nanofluidics,8,8.0,0.0,1.0
ImmunoHorizons,8,8.0,0.0,1.0
International forum of allergy & rhinology,8,6.0,2.0,0.75
Human & experimental toxicology,8,5.0,3.0,0.625
"Experimental biology and medicine (Maywood, N.J.)",8,8.0,0.0,1.0
Genetic testing and molecular biomarkers,8,0.0,8.0,0.0
International journal of experimental diabesity research,8,0.0,8.0,0.0
Simulation in healthcare : journal of the Society for Simulation in Healthcare,8,4.0,4.0,0.5
Journal of brain disease,8,5.0,3.0,0.625
Journal of marriage and the family,8,0.0,8.0,0.0
Population and development review,8,0.0,8.0,0.0
"Clinical nutrition (Edinburgh, Scotland)",8,8.0,0.0,1.0
Journal of clinical psychology,8,0.0,8.0,0.0
Journal of gastroenterology and hepatology,8,5.0,3.0,0.625
Journal of open research software,8,8.0,0.0,1.0
Journal of biomedical science and engineering,8,8.0,0.0,1.0
Energy policy,8,8.0,0.0,1.0
Medical anthropology quarterly,8,5.0,3.0,0.625
Clinica chimica acta; international journal of clinical chemistry,8,7.0,1.0,0.875
International journal of mining science and technology,8,1.0,7.0,0.125
Biological invasions,8,8.0,0.0,1.0
Odontology,8,2.0,6.0,0.25
Journal of interventional cardiology,8,4.0,4.0,0.5
Current cancer drug targets,8,8.0,0.0,1.0
Journal of hospital medicine,8,7.0,1.0,0.875
Fungal diversity,8,8.0,0.0,1.0
American journal of medical quality : the official journal of the American College of Medical Quality,8,2.0,6.0,0.25
"Clinical and experimental hypertension (New York, N.Y. : 1993)",8,5.0,3.0,0.625
Bulletin of entomological research,8,8.0,0.0,1.0
Urological research,8,7.0,1.0,0.875
Journal of sleep disorders & therapy,8,8.0,0.0,1.0
Zeitschrift fur Psychologie,8,6.0,2.0,0.75
The journal of trauma and acute care surgery,8,8.0,0.0,1.0
Ethology : formerly Zeitschrift fur Tierpsychologie,8,8.0,0.0,1.0
Journal of clinical urology,8,6.0,2.0,0.75
Scandinavian journal of rheumatology,8,8.0,0.0,1.0
Fetal and pediatric pathology,8,1.0,7.0,0.125
Mathematical biosciences,8,8.0,0.0,1.0
Sexual plant reproduction,8,8.0,0.0,1.0
The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry,8,7.0,1.0,0.875
Journal of pediatric orthopedics,8,3.0,5.0,0.375
Journal of rare diseases research & treatment,8,8.0,0.0,1.0
Culture and brain,8,6.0,2.0,0.75
Perspectives in public health,7,1.0,6.0,0.14285714285714285
Quaternary science reviews,7,7.0,0.0,1.0
Cognitive neuropsychiatry,7,4.0,3.0,0.5714285714285714
Brain disorders & therapy,7,6.0,1.0,0.8571428571428571
Toxicological and environmental chemistry,7,6.0,1.0,0.8571428571428571
The lancet. Gastroenterology & hepatology,7,7.0,0.0,1.0
ACS applied nano materials,7,7.0,0.0,1.0
Computer methods in biomechanics and biomedical engineering,7,6.0,1.0,0.8571428571428571
Journal of paediatrics and child health,7,7.0,0.0,1.0
The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry,7,7.0,0.0,1.0
Current otorhinolaryngology reports,7,1.0,6.0,0.14285714285714285
Bioelectromagnetics,7,3.0,4.0,0.42857142857142855
Physiotherapy research international : the journal for researchers and clinicians in physical therapy,7,7.0,0.0,1.0
The open women's health journal,7,7.0,0.0,1.0
"Epidemiology (Sunnyvale, Calif.)",7,7.0,0.0,1.0
Global bioethics = Problemi di bioetica,7,3.0,4.0,0.42857142857142855
Electrochimica acta,7,7.0,0.0,1.0
International journal of medical informatics,7,5.0,2.0,0.7142857142857143
Journal of forensic sciences,7,3.0,4.0,0.42857142857142855
Tropical doctor,7,3.0,4.0,0.42857142857142855
Journal of sports sciences,7,4.0,3.0,0.5714285714285714
Journal of molecular recognition : JMR,7,6.0,1.0,0.8571428571428571
Proteomics insights,7,6.0,1.0,0.8571428571428571
Chronic illness,7,6.0,1.0,0.8571428571428571
Journal of biopharmaceutical statistics,7,2.0,5.0,0.2857142857142857
HNO,7,4.0,3.0,0.5714285714285714
Journal of atmospheric chemistry,7,7.0,0.0,1.0
International journal of law and psychiatry,7,6.0,1.0,0.8571428571428571
Journal of contemporary psychotherapy,7,5.0,2.0,0.7142857142857143
Psychological assessment,7,1.0,6.0,0.14285714285714285
Neurological research,7,2.0,5.0,0.2857142857142857
Emotion review : journal of the International Society for Research on Emotion,7,0.0,7.0,0.0
Journal of the Air & Waste Management Association (1995),7,5.0,2.0,0.7142857142857143
Journal of genetics and genomics = Yi chuan xue bao,7,7.0,0.0,1.0
Neurotoxicology,7,6.0,1.0,0.8571428571428571
Neurourology and urodynamics,7,4.0,3.0,0.5714285714285714
Differentiation; research in biological diversity,7,6.0,1.0,0.8571428571428571
Journal of psychiatric and mental health nursing,7,5.0,2.0,0.7142857142857143
British journal of neurosurgery,7,7.0,0.0,1.0
Journal of health organization and management,7,5.0,2.0,0.7142857142857143
The Ibis,7,1.0,6.0,0.14285714285714285
