,filename,Is Female (Weighted),Names,Nouns,Organizations,Text,Verbs
13181,Oncogene/PMC3069218.nxml,1.0,Gail Isenberg,manuscript,,We thank Gail Isenberg for critically reviewing the manuscript.,thank;review
13185,Oncogene/PMC4114136.nxml,0.0,Bert Vogelstein,gift;cell;lines,Johns Hopkins Kimmel Comprehensive Cancer Center,"We thank Dr Bert Vogelstein (Johns Hopkins Kimmel Comprehensive Cancer Center) for the generous gift of the parental and Dicer ex5  isogenic cell lines; R Alvarez, J Comas and E Castaño",thank
13187,Oncogene/PMC3940666.nxml,0.0,David G. Beer,cells,Department of Surgery;University of Michigan,"We are grateful to Dr. David G. Beer, Department of Surgery, University of Michigan, Ann Arbor, MI for providing FLO-1 cells.",provide
13189,Oncogene/PMC3965267.nxml,0.0,Paul A. Welling,gift;constructs,University of Maryland,"We are grateful to Dr. Paul A. Welling at University of Maryland (Baltimore, MD) for the kind gift of TIP-1-expressing constructs.",tip-1-express
13192,Oncogene/PMC3934944.nxml,1.0,Jina Hong,assistance;experiments,,We thank Jina Hong for assistance with some experiments.,thank
13193,Oncogene/PMC3934944.nxml,0.0,Keith Johnson,cadherin;antibody,University of Nebraska Medical Center,We thank Dr. Keith Johnson (University of Nebraska Medical Center) for generously providing his N-cadherin antibody.,thank;provide
13196,Oncogene/PMC3970970.nxml,0.0,Murat Bastepe,cDNA;contructs,XLαs,We thank Murat Bastepe for supplying cDNA contructs for Gαs and XLαs.,thank;supply
13201,Oncogene/PMC4217142.nxml,1.0,Yuko Sawamoto's,sorrow,,We express our heartfelt sorrow over Yuko Sawamoto's sudden passing away.,express;be;pass
13204,Oncogene/PMC4162460.nxml,0.0,Giovanni Melillo,comments;suggestions,Bristol-Myers Squibb,We also thank Dr Giovanni Melillo from Bristol-Myers Squibb for their critical comments and suggestions.,thank
13207,Oncogene/PMC3979498.nxml,0.0,Victor Fung,work;memory;Ph.D.;study;section;wisdom;compassion;integrity;love;sciences;arts;skills;contributions;career;development;investigators;career,NCI;Scientific Review;the Cancer Etiology;CSR;NIH,"This work is dedicated to the fond memory of Victor Fung, Ph.D., a former Program Officer at NCI and former Scientific Review Officer of the Cancer Etiology study section of CSR, NIH, for his wisdom, compassion, integrity, his love of sciences and the arts, his incredible culinary skills, and above all, his contributions to the career development of so many investigators during his own distinguished career.",dedicate
13208,Oncogene/PMC3979498.nxml,1.0,Hua Xiao,antibody,the Michigan State University,We also thank Dr Hua Xiao at the Michigan State University for generously providing the anti-TIP30 antibody.,thank;provide
13214,Oncogene/PMC3939062.nxml,0.0,Amit Verma,discussions,Albert Einstein College of Medicine,We also thank Dr. Amit Verma (Albert Einstein College of Medicine) for helpful discussions.,thank
13221,Oncogene/PMC3931745.nxml,0.0,Nathanael Gray,mTOR;inhibitor;study,Dana Farber Cancer Institute;Torin1,"We thank Dr. Nathanael Gray (Dana Farber Cancer Institute, MA) for kindly providing mTOR inhibitor Torin1 used in this study.",thank;provide
13222,Oncogene/PMC3916943.nxml,0.0,Michael Kahn,luciferase;pCCL;c;vector,University of California at Los Angeles,"Michael Kahn (University of California at Los Angeles, CA) for lentiviral luciferase (pCCL-c-MNDU3c-Luc) vector.",
13236,Oncogene/PMC3950352.nxml,0.0,Carl Manthey,compound,Johnson & Johnson,We thank Carl Manthey and Johnson & Johnson for providing the JnJ compound.,thank;provide
13238,Oncogene/PMC3950352.nxml,1.0,Susan G. Komen,Funding;fellowship;fellowship,ARB;DC;JWP;JC;JES;JES;ZNZ;VPS;NIH;NIH,"Funding was provided by CA100324 (ERS, ARB, DC, JWP, JC, and JES), CA77522 (JES), T32-GM007288 (ZNZ), a postdoctoral fellowship from Susan G. Komen for the Cure ®, KG111405 (VPS), a NIH F32 postdoctoral fellowship F32-CA159663-01 (MRJ), and NIH 1K12GM102779-01 (EAP).",provide
13243,Oncogene/PMC3969838.nxml,1.0,Julie Millour,study;work,,We also thank Julie Millour for initiating the study and help with this work.,thank;initiate;help
13251,Oncogene/PMC4351423.nxml,0.0,Paul Todd,input;Akt;experiments,Akt,We thank Paul Todd for his input into initial phospho-Akt experiments.,thank
13253,Oncogene/PMC4076531.nxml,1.0,Debbie Burkhart,Thanks;advice;procedures;support;staff;facility,the Gurdon Institute,Thanks goes to Debbie Burkhart for her advice with experimental procedures and the support staff within the biomedical facility of the Gurdon Institute.,go
13259,Oncogene/PMC3016604.nxml,0.0,David Meek,discussions,,We thank David Meek for helpful discussions.,thank
13260,Oncogene/PMC4002670.nxml,0.0,Kenji Fukasawa,input,,We appreciate Dr. Kenji Fukasawa for his scientific input.,appreciate
13262,Oncogene/PMC4398970.nxml,0.0,Chang H. Kim,situ;hybridization;help;miRNA,,"*  in situ  hybridization, Dr. Chang H. Kim for his help with the miRNA microarray.",
13274,Oncogene/PMC4467814.nxml,1.0,Gigi Lozano,authors;p53;mice,The University of Texas M. D. Anderson Cancer Center;TX,"The authors are grateful to Dr. Gigi Lozano (The University of Texas M. D. Anderson Cancer Center, Houston, TX, USA) for the p53 mutant mice.",
13275,Oncogene/PMC4467814.nxml,0.0,Suresh Prajapati,Mouse;imaging,,"Mouse imaging was performed by Suresh Prajapati, gratefully acknowledged.",perform;acknowledge
13279,Oncogene/PMC3984902.nxml,0.0,Craig McAndrew,colleagues;discussions;assistance;gel;filtration,the Signal Transduction;Chaperone Project Team,We thank our colleagues in the Signal Transduction and Molecular Pharmacology Team and Chaperone Project Team for helpful discussions and Craig McAndrew for valuable assistance with gel filtration.,thank
13291,Oncogene/PMC3223552.nxml,1.0,Lisa K White,authors;director;microarray;analyses,the Microarray Core Facility;Baylor College of Medicine,"The authors thank the Microarray Core Facility at Baylor College of Medicine (Lisa K White, director) for performing the microarray analyses.",thank;perform
13292,Oncogene/PMC3223552.nxml,1.0,Eunice Kennedy,agreement,Supported;NIH;NIH;the Specialized Cooperative Centers Program;Reproduction and Infertility Research,"Supported, in part, by NIH-HD-16229 and the Eunice Kennedy Shriver NICHD/NIH cooperative agreement [U54-(HD07945) as part of the Specialized Cooperative Centers Program in Reproduction and Infertility Research (SCCPIR)",support
13293,Oncogene/PMC4096609.nxml,0.0,Satya Khuon,assistance;work,,We thank Satya Khuon for her assistance in our confocal work.,thank
13296,Oncogene/PMC4112172.nxml,1.0,Deepali Sachdev,gift;cells,University of Minnesota,We are grateful to Dr. Deepali Sachdev (University of Minnesota) for the kind gift of the MCF7L cells.,
13297,Oncogene/PMC4112172.nxml,0.0,Arno Therapeutics,,,"Onapristone was kindly provided by Arno Therapeutics, Inc.",provide
13298,Oncogene/PMC4303549.nxml,0.0,Dennis Roop,authors;mice,,"The authors would like to thank Dennis Roop for the K14.CrePR1 mice,",like;thank
13303,Oncogene/PMC4212019.nxml,0.0,Graeme Bolger,reading;manuscript,,We thank Dr. Graeme Bolger for critical reading of the manuscript.,thank
13311,Oncogene/PMC4182313.nxml,0.0,Robert Weinberg,puro;vector,pBabe;Whitehead Institute;MIT,"The pBabe-puro vector was provided by Dr. Robert Weinberg, Whitehead Institute, MIT.",provide
13317,Oncogene/PMC4167163.nxml,0.0,Chaitanya Nirodi,authors;advice;lentivirus;production;strategies,,The authors thank Dr. Chaitanya Nirodi for valuable advice on cloning and lentivirus production strategies.,thank;clone
13319,Oncogene/PMC4221586.nxml,0.0,Joseph H. McCarty,manuscript,,We thank Dr Joseph H. McCarty for critically reviewing the manuscript.,thank;review
13328,Oncogene/PMC4119473.nxml,0.0,Robert Gray,lipid;extraction;analysis,GC,We thank Mr Robert Gray for lipid extraction and primary GC analysis.,thank
13329,Oncogene/PMC3003740.nxml,0.0,Bryan Welm,pEI2;support;production;tm1Rdp;mice,the National Cancer Institute,"We thank Bryan Welm for providing the pEI2 plasmid and technical support for our lentiviral production, and the MMHCC at the National Cancer Institute for providing B6.129- Cdkn2a tm1Rdp  mice.",thank;provide;provide
13332,Oncogene/PMC4569942.nxml,0.0,Christoph Roesli,cell;lines;services,HPDE;the DKFZ Genomics and Proteomics Core Facility,We thank Dr Christoph Roesli for providing us with the HPNE and HPDE cell lines and the DKFZ Genomics and Proteomics Core Facility for performing excellent services.,thank;provide;perform
13334,Oncogene/PMC4275421.nxml,0.0,Tom Prince,help;preparation,,We are very grateful for help with construct preparation from Dr Tom Prince.,construct
13337,Oncogene/PMC4245398.nxml,1.0,Anthea Hammond,manuscript,,We would also like to thank Anthea Hammond for reviewing this manuscript.,like;thank;review
13338,Oncogene/PMC4245398.nxml,0.0,Keith Burridge,addition;plasmids,the University of North Carolina,"In addition, we thank Keith Burridge at the University of North Carolina for generously supplying us with the VAV2 plasmids.",thank;supply
13342,Oncogene/PMC4268091.nxml,0.0,Benjamin Yuen,feedback;manuscript,Bonnie Barrilleaux,We thank Bonnie Barrilleaux and Benjamin Yuen for providing feedback on this manuscript.,thank;provide
13348,Oncogene/PMC4333135.nxml,0.0,Garret Brodeur,authors;transfectants,,The authors thank Dr. Garret Brodeur for providing SY5Y/TrkB transfectants.,thank;provide
13351,Oncogene/PMC4317382.nxml,0.0,Richard Stanley,antibodies;gift,AFS98,"The AFS98, total and phospho-Y559 CSF1R antibodies were a generous gift from Dr. Richard Stanley.",
13354,Oncogene/PMC4268095.nxml,0.0,Hiroshi Shirasawa,gift;cells,Chiba University,"We thank Dr. Hiroshi Shirasawa (Chiba University, Chiba, Japan) for a gift of EN60 cells.",thank
13355,Oncogene/PMC4551401.nxml,1.0,Jenny Zadeh,analysis,the University of Illinois at Urbana-Champaign Biotechnology Center,We thank Jenny Zadeh at the University of Illinois at Urbana-Champaign Biotechnology Center for microarray analysis.,thank
13358,Oncogene/PMC3342462.nxml,0.0,Matthew Gamble,members;laboratory;assistance;guidance;ChIP;assays,ChIP,We are especially grateful to Matthew Gamble and members of his laboratory for assistance and guidance with ChIP assays.,
13370,Oncogene/PMC4286533.nxml,0.0,Yibin Deng,expression;vectors;p53,The Hormel Institute;University of Minnesota,"We thank Dr. Yibin Deng (The Hormel Institute, University of Minnesota) for kindly providing the expression vectors of shRNA p53.",thank;provide
13371,Oncogene/PMC4369476.nxml,0.0,Allen J. Ebens,kinase;inhibitors;study,Genentech Inc.;Novartis Oncology,We thank Dr. Allen J. Ebens at Genentech Inc. and Novartis Oncology for providing the Pim kinase inhibitors used in this study.,thank;provide
13372,Oncogene/PMC4558401.nxml,1.0,Judith Campisi,reading;manuscript,Buck Institute for Research,We are immensely grateful to Dr Judith Campisi (Buck Institute for Research on Aging) for her critical reading of this manuscript.,
13376,Oncogene/PMC4430320.nxml,0.0,Gernot Achatz,study;course;study,,We dedicate this study to Gernot Achatz who tragically passed away during the course of this study.,dedicate;pass
13378,Oncogene/PMC4362780.nxml,0.0,Chao Liu,manuscript,,We thank Dr. Chao Liu to proofread the manuscript.,thank;proofread
13379,Oncogene/PMC4333137.nxml,1.0,Jean Campbell,authors;members;laboratory;suggestions,,The authors thank Jean Campbell and members of the Grady laboratory for helpful suggestions.,thank
13382,Oncogene/PMC4345161.nxml,1.0,Gail Isenberg,manuscript,,We thank Gail Isenberg for editing the manuscript.,thank;edit
13385,Oncogene/PMC4661431.nxml,1.0,Julin Wong,hybridomas;p53;p53;antibodies;students;genotyping;zebrafish,,Dr Julin Wong for growing the hybridomas for the p53-5.1 and p53-9.1 antibodies; and our students who helped with genotyping of the zebrafish.,grow;help
13395,Oncogene/PMC4377305.nxml,0.0,Richard Simon,Analyses,BRB-ArrayTools;BRB-ArrayTools Development Team;the National Cancer Institute,"Analyses were performed using BRB-ArrayTools, developed by Dr. Richard Simon and BRB-ArrayTools Development Team at the National Cancer Institute.",perform;develop
13398,Oncogene/PMC4377315.nxml,0.0,Todd Waldman,constructs,Georgetown University School of Medicine,"We thank Dr. Todd Waldman (Georgetown University School of Medicine) for
lentiviral constructs.",thank
13400,Oncogene/PMC4369469.nxml,0.0,Albert Wong,use;equipment;resources,,We would like to thank Albert Wong for the use of equipment and resources.,like;thank
13403,Oncogene/PMC4404185.nxml,1.0,Ann Sutton,manuscript,the Department of Scientific Publications,We thank Ms. Ann Sutton in the Department of Scientific Publications for editing this manuscript.,thank;edit
13406,Oncogene/PMC4430311.nxml,0.0,Kevin Brennan,help,James M Flanagan (Department of Surgery;Cancer;Imperial College London,"We also thank Kevin Brennan and James M Flanagan (Department of Surgery and Cancer, Imperial College London) for their help with pyrosequencing.",thank;pyrosequenc
13411,Oncogene/PMC4687460.nxml,1.0,Nathalie Rivard,members,the FRSQ-Funded Centre de Recherche du CHUS,Nathalie Rivard and Julie C Carrier are members of the FRSQ-Funded Centre de Recherche du CHUS.,fund
13412,Oncogene/PMC4687460.nxml,1.0,Nathalie Rivard,recipient;colorectal;cancer;cell;signalling,Canadian Research Chair,Nathalie Rivard is a recipient of a Canadian Research Chair in colorectal cancer and inflammatory cell signalling.,
13415,Oncogene/PMC4387124.nxml,0.0,Chad Creighton,advice;gene;expression;analysis;assistance,Genomics & Molecular Biology Shared Resource,"We thank Chad Creighton for advice on gene expression analysis, and the Norris Cotton Cancer Center Transgenic & Genetic Construct Shared Resource and Genomics & Molecular Biology Shared Resource for assistance.",thank
13416,Oncogene/PMC4377308.nxml,1.0,Susann Brady-Kalnay,reading;manuscript,,We thank Dr. Susann Brady-Kalnay for critical reading of the manuscript.,thank
13420,Oncogene/PMC4411189.nxml,1.0,Nancy Du,authors;assistance;experiments,Aran Merati,The authors would like to thank Aran Merati and Nancy Du for their technical assistance with some of the experiments.,like;thank
13428,Oncogene/PMC4351909.nxml,0.0,Andrew Armstrong,reading;manuscript;suggestions;staff;prostate;cancer;model,Duke University;AntiCancer Research Ltd;Athina Mavrou,We wish to thank Dr Andrew Armstrong (Duke University) for critical reading of the manuscript and helpful suggestions and the staff from AntiCancer Research Ltd (San Diego) for training Athina Mavrou in the orthotopic prostate cancer model.,wish;thank;train
13429,Oncogene/PMC4351909.nxml,0.0,Richard Bright,,North Bristol Cancer Research Projects Fund,C11392/A10484) and Richard Bright VEGF Research Trust (North Bristol Cancer Research Projects Fund,
13430,Oncogene/PMC4426254.nxml,1.0,Minjung Kim,assistance;staining,IHC,We thank Dr. Minjung Kim for assistance with IHC staining.,thank
13437,Oncogene/PMC4560637.nxml,0.0,Eugenio Rodríguez Pascual,,,Eugenio Rodríguez Pascual,
13442,Oncogene/PMC4753256.nxml,0.0,Lars Holmgren,input;results,the Karolinska Institutet,"(Uppsala, Sweden) and Dr Lars Holmgren at the Karolinska Institutet (Stockholm, Sweden) for valuable input on the results.",lar
13452,Oncogene/PMC4476970.nxml,0.0,Andy Hall,authors;staining,the University of Illinois at Chicago Research Resources Center,"The authors would like to thank Andy Hall, Research Histology Manager, at the University of Illinois at Chicago Research Resources Center who performed all immunohistochemical staining and mounting.",like;thank;perform;mount
13453,Oncogene/PMC4476970.nxml,0.0,Dariusz Borys,authors;assistance;imaging;slides,the Loyola Department of Pathology,"The authors would also like to thank Dr. Dariusz Borys, of the Loyola Department of Pathology, for assistance with imaging of slides.",like;thank
13455,Oncogene/PMC4761647.nxml,0.0,Daniele Piomelli,discussions;manuscript,,We thank Professor Daniele Piomelli for helpful discussions and for revising the manuscript.,thank;revise
13456,Oncogene/PMC4761647.nxml,0.0,Gennaro Colella,cell;lines,HEP,"We thank Dr Gennaro Colella for MCF-7, HEP-G2 and HCT-116 cell lines, and Dr Natalia",thank
13459,Oncogene/PMC4530097.nxml,1.0,Andria Schibler,authors;reading;manuscript;advice;contributions,Evangelia Koutelou,The authors thank Evangelia Koutelou for the critical reading of this manuscript and Andria Schibler for advice and contributions to artwork.,thank;artwork
13462,Oncogene/PMC4791524.nxml,0.0,Peter Jones,cell;lines,,We thank Peter Jones for the UROtsa and LD611 cell lines.,thank
13464,Oncogene/PMC4506915.nxml,1.0,Karen Yarrick,authors;assistance,,The authors also thank Karen Yarrick for the bibliographic assistance.,thank
13468,Oncogene/PMC4660036.nxml,0.0,Simon Boulton,colleagues;discussions;work,,We thank Dr Simon Boulton and our colleagues for critical discussions of this work.,thank
13471,Oncogene/PMC4800289.nxml,1.0,Colleen Lord,assistance,,We thank Colleen Lord for expert editorial assistance.,thank
13475,Oncogene/PMC4522409.nxml,0.0,Lawrence M. Lifshitz,contributions;programs;data,the UMass Biomedical Imaging Group;TESM,We thank Lawrence M. Lifshitz and Clive Standley of the UMass Biomedical Imaging Group for their contributions to the programs used to analyze the TESM data.,thank;analyze
13477,Oncogene/PMC4819782.nxml,1.0,Meike Vogler,manuscript,University of Leicester,We thank Dr Meike Vogler (University of Leicester) for critically revising the manuscript.,thank;revise
13485,Oncogene/PMC4931990.nxml,1.0,Michele Pagano,members;laboratory;discussions;support;study;plasmids;length;KDM2B,NYU,We thank the members of the Fudan MCB laboratory for discussions and support throughout this study and Michele Pagano of NYU for providing plasmids expressing full-length human KDM2B cDNA.,thank;provide;express
13487,Oncogene/PMC4640181.nxml,1.0,Christine Heiner,reading;manuscript,Department of Surgery;University of Pittsburgh,"We thank Christine Heiner (Department of Surgery, University of Pittsburgh) for her critical reading of the manuscript.",thank
13496,Oncogene/PMC4548811.nxml,0.0,Philip N Tsichlis,Tpl2;Δ/Δ;mice,,We thank Dr. Philip N Tsichlis for providing us the Tpl2 Δ/Δ  mice.,thank;provide
13497,Oncogene/PMC4688046.nxml,1.0,Maya El Sabban,experiments,,We would like to thank Maya El Sabban for assisting us with xenograft experiments.,like;thank;assist
13498,Oncogene/PMC4564363.nxml,1.0,Inna Kodos,expertise,,We thank Inna Kodos in the Sloan Kettering Antitumor Assessment Core for her technical expertise.,thank
13499,Oncogene/PMC4580488.nxml,1.0,Melody A. Montgomery,assistance;manuscript,the University of Nebraska Medical Center Research Editorial Office,We wish to thank for Melody A. Montgomery at the University of Nebraska Medical Center Research Editorial Office for her professional assistance in editing this manuscript.,wish;thank;edit
13503,Oncogene/PMC4523886.nxml,0.0,Anton Berns,flox;mice;mice;p53;flox;mice,Tyler Jacks;MIT;LSL;Netherlands Cancer Institute,"Arf flox mice, Tyler Jacks (MIT) for the LSL-Kras mice, and Anton Berns (Netherlands Cancer Institute) for the p53 flox mice.",
13504,Oncogene/PMC4523886.nxml,0.0,Michael Rudnicki,Pax7-FLAG;vectors,Pax7-FLAG,We thank Michael Rudnicki for the Pax7-FLAG tagged vectors.,thank;tag
13506,Oncogene/PMC4573390.nxml,1.0,Joan Massague,cell;lines,MDA,Dr. Joan Massague kindly provided the MDA-MB-231 derivative cell lines used here.,provide
13511,Oncogene/PMC4650263.nxml,0.0,Hock Lee,assistance;vivarium;staff,,We also acknowledge the assistance of the vivarium staff including Hock Lee.,acknowledge;include
13526,Oncogene/PMC4688047.nxml,0.0,Jeffrey Rosen,reading;manuscript,,We thank Dr. Jeffrey Rosen for critical reading of this manuscript.,thank
13527,Oncogene/PMC4486341.nxml,0.0,Jae Jung,,BCP-1;APK-1,"Dr. Jae Jung (BC-3, BCBL-1, JSC-1, BC-1, BCP-1, VG-1, and APK-1); Drs.",
13529,Oncogene/PMC4486341.nxml,0.0,William Kaelin Jr.,authors;constructs,CRBN,"The authors are grateful to Dr. William Kaelin Jr. for providing the shRNA constructs ( CRBN,",provide
13530,Oncogene/PMC4486341.nxml,0.0,James Bradner,IKZF1;IKZF1;contribution,IKZF1-2,"IKZF1-1, IKZF1-2 ), Dr. James Bradner for his generous contribution of (+)-and",
13534,Oncogene/PMC4749473.nxml,1.0,Laila Dahmoush,help;tumor;slides,University of Iowa,We would like to thank Laila Dahmoush at University of Iowa for her help analyzing patient tumor slides.,like;thank;analyze
13537,Oncogene/PMC4791205.nxml,0.0,Adam Karpf,grade;carcinoma;cell;lines,The Pamela & Fred Cancer Center;University of Nebraska Medical Center,"We thank Dr. Adam Karpf (The Pamela & Fred Cancer Center, University of Nebraska Medical Center) for providing ovarian high grade serous carcinoma cell lines.",thank;provide
13538,Oncogene/PMC4791205.nxml,1.0,Melody Montgomery,authors;editing;manuscript,the University of Nebraska Medical Center (UNMC) Research Editorial Office,The authors thank Melody Montgomery at the University of Nebraska Medical Center (UNMC) Research Editorial Office for the professional editing of this manuscript.,thank
13545,Oncogene/PMC4603996.nxml,1.0,Martha Somerman,gift,NIDCR,The pOPN-Luc plasmid was a generous gift from Dr. Martha Somerman (NIDCR).,
13549,Oncogene/PMC4615268.nxml,0.0,Ville Kytölä,contributions;association,,We thank Ville Kytölä for contributions to the immunohistochemical association analyses.,thank;analyse
13550,Oncogene/PMC4666837.nxml,0.0,Bert Vogelstein,type;cells,Johns Hopkins University,We thank Dr. Bert Vogelstein (Johns Hopkins University) for wild type and DICER−/− HCT116 cells.,thank
13551,Oncogene/PMC4666837.nxml,0.0,Douglas Green,expression;construct;gift,St. Jude Children's Research Hospital,The BAX expression construct was a generous gift from Dr. Douglas Green (St. Jude Children's Research Hospital).,
13558,Oncogene/PMC4486335.nxml,0.0,Mark Penfold,authors;CXCR7;mice;antibody,ChemoCentryx,The authors thank Dr. Mark Penfold and ChemoCentryx for CXCR7 loxP mice and antibody 11G8.,thank
13560,Oncogene/PMC4486335.nxml,0.0,Aaron Robida,assistance,the University of Michigan Flow Cytometry Core,We thank Dr. Aaron Robida from the University of Michigan Flow Cytometry Core for assistance.,thank
13570,Oncogene/PMC4853301.nxml,0.0,Michael J. Walsh,assistance;generation;knockout;cell;lines,CRISPR/Cas9,We are very grateful to Michael J. Walsh for assistance with generation of CRISPR/Cas9 knockout cell lines.,
13573,Oncogene/PMC4893635.nxml,1.0,Alexia Loynton-Ferrand,members;IMCF;help;assistance,the Imaging Core Facility;IMCF;Elena Nigg-Martignoni,We also thank Alexia Loynton-Ferrand and other members of the Imaging Core Facility (IMCF) for help and Elena Nigg-Martignoni for technical assistance.,thank
13574,Oncogene/PMC4893635.nxml,0.0,Felix B. Engel,Initiative;EFI;Cell;Cycle;comments;support;members;lab;discussions,FAU;Nigg,"Finally, we are grateful to Felix B. Engel and the 'Emerging fields Initiative' (EFI) for 'Cell Cycle in Disease and Regeneration (CYDER)' from the Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU) for constructive comments and support, as well as to all members of the Nigg lab for helpful discussions.",field
13577,Oncogene/PMC4850112.nxml,1.0,Jie Hong,mutant;gift,GLO;School of Medicine;Shanghai Jiao Tong University,"pmiR-GLO-AKT2-3′UTR and pmiR-GLO-AKT2-3′UTR mutant is a kind gift from Dr Jie Hong at School of Medicine, Shanghai Jiao Tong University, Shanghi, China.",
13578,Oncogene/PMC4908438.nxml,0.0,James R Woodgett,SGK3-CMV;construct,Samuel Lunenfeld Research Institute;Flag,"We thank Professor James R Woodgett (Samuel Lunenfeld Research Institute, Canada) for providing the Flag-myristoylated SGK3-CMV construct.",thank;provide;myristoylat
13584,Oncogene/PMC4914826.nxml,0.0,Michael P Kuligowski,assistance;image;analysis;staff;assistance,Centenary Imaging Facility;the Advanced Cytometry Facility;FACS,"We thank Michael P Kuligowski from Centenary Imaging Facility for assistance with Volocity image analysis and staff at the Advanced Cytometry Facility, Sydney for FACS assistance.",thank
13586,Oncogene/PMC4837098.nxml,1.0,Karen A. Coyne,Director;group,Research Information Technology,"(Director: Karen A. Coyne), Research Information Technology (IT) group, and",
13590,Oncogene/PMC4877306.nxml,0.0,Ravi Majeti,addition;assistance;samples,"Division of Hematology, Institute;Regenerative Medicine;Cancer Institute;Stanford University;the Stanford University Division of Hematology Tissue Bank","In addition, we would like to acknowledge the assistance of Dr. Ravi Majeti, Division of Hematology, Institute for Stem Cell Biology and Regenerative Medicine, and Cancer Institute, Stanford University and the Stanford University Division of Hematology Tissue Bank for samples.",like;acknowledge
13591,Oncogene/PMC4809801.nxml,1.0,Susan Edgerton,tissue,,Susan Edgerton provided de-identified tissue.,provide;identify
13597,Oncogene/PMC4837109.nxml,0.0,Altaf Wani,suggestions,,We are grateful to Dr. Altaf Wani for his helpful suggestions.,
13601,Oncogene/PMC4853298.nxml,0.0,Mark Udey,members;members;discussions,the Laboratory of Cancer Biology and Genetics,We thank current and past members of the Laboratory of Skin Biology and members of the Laboratory of Cancer Biology and Genetics and Dr. Mark Udey for helpful discussions.,thank
13605,Oncogene/PMC4853282.nxml,0.0,Jonathan M. Backer,help;kinase,Albert Einstein College of Medicine,We acknowledge Dr. Jonathan M. Backer (Albert Einstein College of Medicine) for his help with the kinase assay.,acknowledge
13606,Oncogene/PMC4853303.nxml,0.0,Ahmed Chadli,antibody,,We thank Dr. Ahmed Chadli for providing the PR antibody.,thank;provide
13608,Oncogene/PMC4877278.nxml,0.0,Phil Shafer,authors;artwork,,The authors thank Mr. Phil Shafer for the artwork.,thank
13609,Oncogene/PMC3095899.nxml,0.0,Kevin Conway,assistance;immunofluorescence;microscopy,,We thank Kevin Conway for assistance with immunofluorescence microscopy.,thank
13610,Oncogene/PMC4896860.nxml,0.0,Roderick Bronson,analyses,the Dana-Farber/Harvard Cancer Center Rodent Histoplathology Core,We thank Dr. Roderick Bronson and the Dana-Farber/Harvard Cancer Center Rodent Histoplathology Core for histopathological analyses.,thank
13617,Oncogene/PMC4916052.nxml,0.0,Terry Morgan,Ph.D.;help;analysis;tumor;samples,Oregon Health and Sciences University;RMS,"We thank Terry Morgan, M.D. Ph.D., Oregon Health and Sciences University, for help with the statistical analysis of the archival RMS tumor samples.",thank
13618,Oncogene/PMC4916052.nxml,0.0,Steven Verhulst,Ph.D.;help;analysis;tumor;samples,Southern Illinois University School of Medicine;RMS,"We thank Steven Verhulst, Ph.D., Southern Illinois University School of Medicine, for help with the statistical analysis of the primary RMS tumor samples.",thank
13620,Oncogene/PMC4885800.nxml,1.0,Maria S. Degese,help;immunohistochemistry,,We thank Maria S. Degese for her help with immunohistochemistry.,thank
13621,Oncogene/PMC4885800.nxml,1.0,Miho Morikawa,assistance;TGFα,,We thank Miho Morikawa for technical assistance with the TGFα shedding assay.,thank;shed
13623,Oncogene/PMC4931992.nxml,0.0,Neil Anthony,assistance;image;acquisition;analysis,Integrated Imaging Core,"We acknowledge the assistance provided by Neil Anthony (Integrated Imaging Core, Emory University) during image acquisition and analysis.",acknowledge;provide
13630,Oncogene/PMC4929484.nxml,1.0,Clare Sheridan,advice,,We thank Elza de Bruin and Clare Sheridan for advice.,thank
13631,Oncogene/PMC4929484.nxml,0.0,Mike Howell,lab,LRI Core Technology Facilities;FACS;Cell Services,"We also thank Mike Howell and LRI Core Technology Facilities, including Equipment Park, FACS lab and Cell Services.",thank;include
13637,Oncogene/PMC4916044.nxml,0.0,Fei Ding,gifts;constructs;deletion;mutants;p100,,We greatly appreciated Dr. Han-Fei Ding for his generous gifts about constructs expressing p100 and various deletion mutants of p100.,appreciate;express
13639,Oncogene/PMC4940344.nxml,0.0,Sebastian Oltean,authors;suggestion;lineage;reporter,Bristol University,"The authors would like to acknowledge Dr. Sebastian Oltean (Bristol University, UK) for his suggestion to develop the lineage tracing reporter.",like;acknowledge;develop;trace
13640,Oncogene/PMC4940344.nxml,0.0,Shelton Bradrick,authors;discussions,,The authors would also like to thank Dr. Shelton Bradrick for helpful discussions.,like;thank
13641,Oncogene/PMC4940300.nxml,0.0,John Crispino,reading;manuscript,Northwestern University,We thank Dr. John Crispino (Northwestern University) for critical reading of the manuscript.,thank
13643,Oncogene/PMC4962030.nxml,0.0,Jeremy M Stark,help;phase;project;reporter;EJ5SceGFP,Department of Cancer Biology;Division of Radiation Biology;Beckmann Research Institute;Duarte;NHEJ,"We are grateful to Daniela Salles, Ulm, for experimental help during the initial phase of the project, and Jeremy M Stark, Department of Cancer Biology, Division of Radiation Biology, Beckmann Research Institute of the City of Hope, Duarte, CA, USA, for the NHEJ reporter EJ5SceGFP.",
13648,Oncogene/PMC4977484.nxml,0.0,Alfred Moore,assistance;imaging,,We thank Alfred Moore for assistance with bioluminescent imaging.,thank
13650,Oncogene/PMC4981874.nxml,0.0,Bernhard Kloo,support,,We thank Bernhard Kloo for support.,thank
