tag,observations
Investigators of the COLONPREDICT study,1
Patient perseptive,1
Clinical Information Network Authors,1
Compliance to publishing standards for systematic reviews,1
Original data,1
Independence of researchers from funders,1
Authors ’contributions,1
Prior presentations/publication,1
Open access data and protocol,1
Levels of evidence,1
Availably of data and materials,1
WHO data set,1
The GEP 2014–18 class consortium,1
Availability of the data and materials used in the research,1
Research Authorization,1
Ethical approval & consent to participate,1
Research authorization,1
Ethical approval and consents to participate,1
Grant/Funding acknowledgement statement,1
Availabity of data and materials,1
SHIP trial team,1
Million Women Study collaborators,1
Members of the updating guidelines working group,1
HES response rate working group,1
Data extraction tool implementation,1
Link to P3P demonstration version,1
Author disclaimer,1
Transaparency declaration,1
Consent or publication,1
Ethics approval and consent to participle,1
"Consent for publication, ethics approval and consent to participate",1
Financial Disclosures and Conflict of Interest,1
CARE guidelines,1
Consent to participate & publish,1
Clinical data sharing,1
Authors’ contributions’,1
Participants of the International Conference on Fieldworkers at KWTRP in July 2014 (Countries and participants listed alphabetically),1
Ethical approval and consent to participate/publish,1
Submitting Author,1
Ethics/consent,1
Cases,1
The Gen-BPD Study Group,1
Notification,1
FIRST Investigators,1
Statement of institutional review board approval and/or statement of conforming to the Declaration of Helsinki,1
CONSORT statement,1
Exclusive licence statement,1
Positive Brain Health Now Investigators,1
First author’s information,1
Methodology,1
Authors disclosure,1
Availability of materials and methods,1
Additional data availability information,1
Consent for publicaiton,1
Consent for publcation,1
Authors’,1
Author’s statement,1
Acknowledgement/Disclosure,1
Ethics approval and consent to partcipate,1
Sources of public and private financial support,1
Authors’ financial or proprietary interest,1
Case Report Guidelines,1
Availability of data and materials ﻿state﻿men﻿t﻿,1
Disclamer,1
Data access statement,1
Funding for each author,1
“Consent form,1
Search terms,1
Language editing,1
Data analysis and interpretation,1
Consent fpr publication,1
"Ethics approval, considerations and consent to participate",1
Disclaimer/source of funding,1
Supplementary note,1
"Authors, information",1
Avaılabılıty of data and materıals,1
Article summary,1
Ethics and consents to participate,1
Ethical and Consent to Participate,1
Avalilability of data and materials,1
Approval,1
Presentation of data,1
Smoking and tuberculosis research working group,1
Availabilty of data and material,1
"Data access, responsibility and analysis",1
Requesting for consent statement,1
Parental consent,1
Ethics and consent to participation,1
Previous publication in abstract form,1
Sources and types of support,1
Trial identifier,1
Collaborators’ information,1
Additional Information:,1
Author’s information (optional),1
Study personnel,1
Paper presentation information,1
Satellite sites,1
Financial support/funding,1
The ARROW trial team,1
SELECTED Investigators,1
Data sharing policy,1
Funding and sponsorships,1
COPPADIS Study group (collaborators),1
Requests for Single Reprints,1
Footnote for the title page,1
Ethic and consent to participate,1
SHASTA study group principal investigators and sites,1
Participating centres in Australia,1
Sources of funding and financial support,1
MEAD study group principal investigators,1
SHASTA Study Group Principal Investigators and Sites:,1
Previous presentation acknowledgement,1
Supports,1
Availability of data and materias,1
Content to publish,1
Participant consent,1
Limitation of the study,1
Permission obtained for the study,1
Presentation of preliminary results,1
Comments from the Editorial board,1
Consent for publication,1
Availability of supplementary data and materials,1
Adherence to COREQ guidelines,1
"Uma floração de cianobacterias em um lago costeiro urbano, Rio Grande do Sul, Brasil",1
"Elvira Bramon1,2*, Matti Pirinen3*, Amy Strange3, Kuang Lin2, Colin Freeman3, Céline Bellenguez3, Zhan Su3, Gavin Band3, Richard Pearson3, Damjan Vukcevic3, Cordelia Langford4, Panos Deloukas4, Sarah Hunt4, Emma Gray4, Serge Dronov4, Simon C. Potter4, Avazeh Tashakkori-Ghanbaria4, Sarah Edkins4, Suzannah J. Bumpstead4, Maria J. Arranz2,5, Steven Bakker6, Stephan Bender7,8, Richard Bruggeman9, Wiepke Cahn6, David Chandler10, David A Collier2,11, Benedicto Crespo-Facorro12,13, Paola Dazzan2, Lieuwe de Haan14, Marta Di Forti2, Milan Dragović15, Ina Giegling16, Jeremy Hall17, Conrad Iyegbe2, Assen Jablensky15, René S. Kahn6, Luba Kalaydjieva10, Eugenia Kravariti2, Stephen Lawrie17, Don H. Linszen14,19, Ignacio Mata12,13, Colm McDonald18, Andrew McIntosh17, Inez Myin-Germeys19, Roel A. Ophoff20,6, Carmine M. Pariante2, Tiina Paunio21,22, Marco Picchioni2,23, Psychiatric Genomics Consortium24, Stephan Ripke25,26, Dan Rujescu16,27, Heinrich Sauer28, Madiha Shaikh2,29, Jessika Sussmann17, Jaana Suvisaari30, Sarah Tosato31, Timothea Toulopoulou2,32,33, Jim Van Os2,19, Muriel Walshe2, Matthias Weisbrod8, Heather Whalley17, Durk Wiersma9, Jenefer M. Blackwell34,35, Matthew A. Brown36, Juan P. Casas37,38, Aiden Corvin39, Audrey Duncanson40, Janusz A.Z. Jankowski41,42,43, Hugh S. Markus44, Christopher G. Mathew45, Colin N.A. Palmer46, Robert Plomin47, Anna Rautanen3, Stephen J. Sawcer48, Richard C. Trembath44, Nicholas W. Wood49, Ines Barroso4, Leena Peltonen4,‡, Cathryn M. Lewis2,46, Robin M. Murray2, Peter Donnelly3,50, John Powell2, ^ and Chris C.A. Spencer3, ^*These authors contributed equally to this work.^These authors jointly supervised this work.‡Deceased.Author affiliations:",1
Authors’ Contributions.,1
GINIplus study group,1
Licence statement,1
Consent for publiation,1
Computational Details,1
Ethic approval and consent,1
8 ACKNOWLEDGEMENTS,1
Ethic approval and consent participate,1
Publisher Notes,1
Plant material statement,1
Trail status,1
Disclosure of Potential conflicts of Interest,1
Declaration of transparency,1
Author's roles,1
Previous presentations of the data contained in this manuscript,1
The authors of this paper are as follows:,1
Remarks,1
Publication charge,1
Membership of Wellcome Trust Case Control Consortium 2 (WTCCC2):,1
Availability of data and support materials,1
Approval and consent to participate,1
Acknowledgments and Support,1
Trials status,1
Acknowledgemnents,1
Data deposition and access,1
Ethics approval for blood collection,1
Support and funding,1
Acknowlegdement,1
Ethics approval and consente to participate,1
Authorship declaration,1
Subject terms,1
XIX. ACKNOWLEDGEMENTS,1
Availability of data set,1
WTCCC2 Affiliations:,1
Acknowledgment and financial support,1
Authers' Contribution,1
Names of commercial and non-commercial funding,1
Aknowlegdments,1
Conflict of interests declaration,1
Ethical standards declaration,1
Co-signatures,1
"Availability of data and materials, including guidelines for use",1
6.4. Acknowledgment,1
Date availability,1
Join the trial,1
Consent to participate and informed consent,1
Copperhead Snakebite Recovery Outcome Group,1
Decision Taken,1
Disclosure of any source of financial support of the study,1
"Participating hospitals, local trial coordinators",1
"Coordinating hospital, trial coordinator",1
Cross publication,1
DIVE study group,1
Availabilitiy of data and materials,1
Responsibility,1
Authors’ contribution statement,1
Approvals from the authorities,1
Amount of support from each donor,1
Quality control and quality assurance,1
Study Monitors,1
Clinical Investigators,1
Insurance and financing,1
Statement of funding sources,1
Acknowledgements and author declaration,1
Human and Animal Rights and informed consent,1
Materials and availability,1
Supplemental materials,1
Grant number,1
Competing Interests.,1
Authors contributions.,1
Achkowledgements,1
Patient consent for publication,1
Financial and equipment support,1
South India Disability Evidence Study Group consisted of the following researchers in addition to the authors listed above:,1
Caracterização da diversidade bacteriana em amostras de petróleo provenientes de reservatórios brasileiros,1
α-amilase alcalina termoestável de Bacillus sp AB68 halotolerante-alcalifílico,1
Aplicação de uma substância polimerica extracelular bacteriana na absorção de metais pesados em um sistema aquoso co-contaminado,1
Atividade antibacteriana de extratos de plantas do Brasil contra bactérias patogênicas para peixes,1
Previous or duplicate publication,1
Identificação de um metabólito antifúngico produzido pela cepa Actinomyces A01,1
Additional data and material,1
Availability for publication,1
Isolamento de Mucorales de milho processado (Zea mays L.) e seleção quanto à atividade proteásica,1
Ethical approval consent to participate,1
Collaborators for the 4D EEG Consortium,1
Grant Sponsor,1
Availability of data and sources,1
Meetings where the work has been presented,1
Disclosures and Funding,1
Acknowledgment of Financial Support,1
Controle da macha-parda do arroz (Bipolaris oryzae) pelo emprego de antioxidantes fenólicos,1
População microbiana de solos contaminados pelo derramamento de petróleo no deserto Jordão-Iraque (região de Badia),1
Ethics approval and consent to Participate,1
Ethics approval and consent to participate – required,1
REFERENCES 3,1
ACKNOWLEGDMENT,1
REFERENCES 1,1
Ethical approval of animal experiments,1
Ethical approval of human specimens,1
Otimização das exigências nutricionais para crescimento micelial e esporulação do fungo entomopatogênico Aschersonia aleyrodis Webber,1
Previous presentations of study data,1
Melhoramento da produção de xilanase por Cochliobolus sativus por fermentação em estado sólido,1
Produção de actinomicina-D por um mutante de uma nova cepa de Streptomyces sindenensis,1
Caracterização morfológica e citoquímica dos esporos e lamelas de Lepista sordida,1
Diversidade genética e suscetibilidade a antifúngicos de Trichosporon asahii isolado de pacientes de Unidades de Terapia Intensiva,1
Um novo protocolo de PCR para a identificação de Fusarium graminearum,1
Identificação de Lactobacillus UFV H2b20 (linhagem probiótica) através de hibridização DNA-DNA,1
Densidades populacionais e diversidade genética de actinomicetos associados a rizosfera de Theobroma cacao,1
Adesão de bactérias desnutridas por nitrogênio a solo,1
Tauopathy Genetics Consortium,1
If your manuscript does not contain any individual persons data,1
Attribution of support,1
Cooperating clinics (listed in alphabetical order),1
Use of copyright protected materials,1
Human & animal studies,1
Supplementary material and methods,1
Availability of datasets and materials,1
Adherence to CONSORT guidelines,1
Authors'  Contribution,1
Conflict of  Interests,1
Key Learning Points,1
The DARE Study group,1
Conflicting Interests,1
Work limitations,1
Acknowledgement of Grant Support,1
Financial competing interests or non-financial competing interests,1
Consent to publish statement,1
Ethics committees that approved the study,1
Protocol version and Date and version identifier,1
Correction,1
Consent for publishing,1
Recruitment and inform consent,1
Additional details,1
Approval for use,1
Previous presentation as congress abstract,1
Publishers note,1
GE healthcare life science core imaging,1
This paper has been prepared in line with Standard Protocol Items,1
Sponsored by,1
Publisher′s Note,1
Author roles:,1
ClinicalTrials.gov Identifier:,1
Editorial support,1
Previous published parts,1
Ethical approval and consent for publication,1
Others,1
Our sincere gratitude goes to,1
"Availability of data, code and materials",1
Study team,1
Prior conference presentation,1
Ethics approval and consent to particpate,1
Competing interesting,1
Abstract presentation,1
List of the INOX co-investigators,1
Technical support,1
List of recommended repositories,1
Germplasm,1
Members of the PROGRESS study group 2015,1
Availability of sequencing reads,1
Framework,1
Ethics approval for human or animal subjects,1
Role of the funding body,1
Clinical trial,1
Funding sourses,1
Weblinks,1
Chemical compounds studied in this article,1
Financial source,1
Availabilty of supporting data,1
Computational requirements,1
Acknowledgement for funding,1
Participating centers and ethic committees:,1
Cohorts,1
Financial support and disclosure,1
Availability of materials and data,1
Funding source registration,1
Fund details,1
NOAA disclaimer,1
Ethics approval and consent to participate and to publish,1
Fund declaration,1
Website links,1
FDA Disclaimer,1
Depostion of data,1
Images,1
Ethics committee registration,1
Completion of medical records,1
Experimental subjects/animals,1
Ethics approval and consent to participate or publish,1
Members of the advisory board of Vaccination60+,1
Name of institutions at which the research was conducted,1
What this study adds?,1
What is already known about this subject?,1
Authors’ contribitions,1
About this section,1
Database Permission,1
Ethics approvial and consent ot participate,1
Trademark section,1
Funding grant,1
Publication policy,1
Project team,1
Trial organization researchers,1
Authors’ contributions,1
Declarations (Additional files 4 and 5),1
Members of the Countdown to 2015 Health Finance Working Group,1
Ethics approval and conset to participate,1
"Details, images, or videos relating to individual participants",1
Collection of field samples,1
Competent interest,1
Description of the article,1
Animal Welfare,1
Trial registry record - protocol version,1
Ethics approvaland consent to participate,1
Trial registration data,1
Consent of submission,1
"Ethics, consent to participate and consent to publish",1
Agreement to be a co-author,1
Data submission,1
Cities participation,1
Acknowldegment,1
"Availability of data, programs and material",1
Authors’ contri,1
Concent for Pulication,1
CONSORT checklist,1
The CONSORT Statement,1
Ethical committee,1
Mandatory Disclaimer,1
Availability of preprint publication,1
Client-owner consent,1
Availability of data and raw materials,1
Software availability and requirements,1
Further materials,1
Data and version identifier,1
Publisher’s notes,1
Ethics approval and consent to the participate,1
Ethics approval and patients’ consent,1
Availability of data & material,1
Participating general practice registration networks,1
Déclarations,1
Authors’s information,1
Intellectual property and contact information,1
Collaborative Group Dislip-EM Study,1
Nomenclatural acts,1
Fossil material,1
Sample collection and availability of raw data,1
Ethics approval approval and consent to participate,1
Ethic approvals and consent to participate,1
Requesting animal ethics,1
“G-NET-Registry” investigators,1
Ethics approval and consent to pariticipate,1
Ethical approval and consent to participant,1
Consent from client owned animal,1
JAMP Study Investigators,1
The dsd-LIFE study group,1
Data archiving,1
Animal ethics and client-owner consent,1
Ethics approval and and consent to participate,1
Sources of fundings,1
Potential referees,1
Note added in Proof,1
Collection of plant material,1
Available of the data and materials,1
Ethics approval and consent  to participation,1
PRISMA-Statement,1
Details of financial support,1
Ethics statement and consent,1
Ethical consent,1
Reprints,1
Study sponsorship,1
Permission to use the QUALICOPC data,1
CPP FAP-310 Study Investigators,1
Adherence to STROBE guidelines,1
Personal interest,1
Statement of ethics and consent to participate,1
Ethics approval and consents to participate,1
Fund project,1
Software details,1
Ethics (consent to participate),1
Publishing consent,1
Ethics (and consent),1
Members of the RECODE Study Group,1
Full name of ethics committee,1
Ethics approval and Consent to Participate statement,1
Financial support & disclosure,1
Ethical clearance/consent,1
Guarantor(s) for the study,1
Additional data,1
"Ethical approval, sponsorship and consent to participate",1
Data access & responsibility,1
Consent from patient,1
PRISMA guidelines,1
Animal experiment,1
Ethics and research governance,1
Data preservation for sharing,1
"Ethics, approval, and consent to participate",1
License,1
Consents to publish,1
Ethics and consent statements,1
DISCUSSION,1
Disclosure statement and conflicts of interest,1
Conflict-of-Interest Disclosure,1
Jichi Medical University,1
"Centers and investigators participating in CoRIS, Biobanco",1
Korean Heart Study (mortality study) participating institutes and principal collaborators,1
The members of the Infectious Disease Clinical Research Program HIV Working Group are,1
Group Authorship,1
Permanent team,1
Clinical and biological hospital units:,1
Composition of the GECSA,1
The Collaborative Group for Meta-Analysis of Individual Patient Data in MDR-TB Members (in Alphabetic Order of Surname),1
The Teddy Study Group,1
Conformity with author information,1
Life style and dietary modification counselling team,1
University of Tohoku,1
Fukushima Medical University,1
University of Tsukuba,1
Recruiting centres (with Principal Investigators),1
Saitama Medical University,1
Showa University,1
St. Marianna Medical University,1
Niigata University,1
Kanazawa University,1
Hamamatsu Medical University,1
University of Nagoya,1
University of Okayama,1
University of Nagasaki,1
University of Kumamoto,1
University Hospital of the Ryukyus,1
Clinical sites,1
Committee,1
Consortia members,1
The European Childhood Obesity Trial Study Group,1
Previous presentation at scientific meetings,1
Working Group of Integrated Programme of Tuberculosis Research,1
Scientific Secretary,1
Board of Directors,1
UPBEAT consortium personnel,1
The contributing hospitals and contact persons of the Society for Rheumatology Research Utrecht (SRU) are:,1
Appendix: Full List of All Truth-Ambiguous Statements,1
Human Research Protections/IRB Statement,1
Cooperative Group,1
RAPIDE-BCV Trial Team,1
Members of the participating sentinel laboratories,1
PEPs Group Affiliations,1
ART-CC Co-ordinating team,1
ART-CC Steering group,1
List of BTS-Stroke Investigators,1
Central Units,1
PREVENU study group,1
National Institute of Diabetes and Digestive and Kidney Disease,1
Members of the CATALISE consortium,1
Integrity and accuracy of the data,1
ICONA FOUNDATION STUDY GROUP,1
Data Accountability,1
PEDA study team,1
Appendix of additional study sites and participants,1
Ethics review boards and approval numbers:,1
The Nephrotest study group,1
Membership of the SO2S Study Team,1
Study Oversight Committees,1
Resource Centers,1
CDaCI Investigative Team,1
Equipment,1
Disclosure/Conflict-of-Interest Statement,1
MEmind Study Group,1
Local principal investigators,1
"Department of Nuclear Medicine, Charlotte Maxeke Johannesburg Academic Hospital (CMJAH)",1
"Evolutionary Studies Institute (ESI), University of the Witwatersrand and National Palaeosciences Centre of Excellence",1
Korea Acute Myocardial infarction Registry (KAMIR) Investigators,1
Conformity with Author Information,1
Intensive Care Units and Investigators,1
The CAPEDP study group,1
Working group members,1
Contact for consortium,1
List of affiliations,1
Trial statisticians,1
Adverse event committee,1
Outcome assessment committee,1
Imaging assessment committee,1
Executive committee,1
Charlotte Maxeke Johannesburg Academic Hospital,1
ImmuReM IPD Study Group,1
UK Biobank Follow-Up and Outcomes Working Group,1
Consortium,1
List of participating centers,1
TBVI TB Biomarkers Working Group,1
Amended Role of Funder statement,1
UK Biobank Follow-up and Outcomes Working Group,1
Lead author of this group,1
AMIS Plus Steering Committee,1
URL,1
CASA-project Health Facilities,1
CASA-Project Team,1
Members of the Outcomerea Study Group,1
"Department of Diagnostic Radiology, Charlotte Maxeke Johannesburg Academic Hospital",1
Principal Investigators who provided imaging for this analysis,1
2015 iGEM Interlab Study Contributors,1
The Partners Demonstration Project Team,1
2014 iGEM Interlab Study Contributors,1
ALS consortium investigators,1
INTERACT2 Investigators,1
Declaration of Submission,1
Memberships of INDICO,1
Memberships of INDIPAN,1
"Membership of Prevention Recurrence Committee, Japan Obstetric Compensation System for Cerebral Palsy",1
Membership of the JPAD trial / the JPAD2 cohort study,1
Data monitoring and safety board,1
List of MR CLEAN investigators and affiliations,1
"Other authors of the Study group of “Validity of COPD-6 in non-specialized healthcare settings”, in alphabetical order",1
NAC Calidad group. IP Rosario Menéndez,1
Trademark Statement,1
The Partners in Prevention HSV/HIV Transmission Study Team,1
The IST-3 Collaborative Group,1
The Partners PrEP Study Team,1
Coordinating centre,1
Statistical centre,1
TB:HIV Steering Committee,1
Latin America,1
Southern Europe,1
Western Europe,1
Eastern Europe,1
The TB:HIV Study Group,1
Bangkok Tenofovir Study Group,1
National coordinators and associate national coordinators,1
Angiography reading panel,1
Non-contrast CT and MRI reading panel,1
Statistical and Monitoring Team,1
CPN Collaborative Group,1
GERMANY,1
Members of the International Headache Genetics Consortium,1
Participating shelters,1
Sankara NethralayaVitreoretinal Study Group (SNVR-Study Group),1
TOPICS-MDS Consortium (contact: topics-mds@radboudumc.nl),1
Members of the outcomerea study group,1
Manufacturers’ addresses,1
GUSTA study group,1
GLaSEV group,1
Supplementary list of investigators:,1
Other participant cohorts,1
Lead author on behalf of the SPREDIA-2 group,1
Appendix: STICK study investigators group,1
Epidemiologic Survey Committee of the Korean Ophthalmologic Society,1
Members of the IMID Consortium,1
Community partner organisations,1
COORDINATING CENTRE,1
Laboratories and clinical supplies,1
Participating clinics,1
PRELUDE study team,1
Korean Kawasaki Disease Genetics Consortium,1
Membership of the FuncSiE Trial Investigators,1
The sources of support that require acknowledgement:,1
Group mean change versus mean individual change of maternal CSF glutamate concentrations prior to and following VFD exposure,1
CRF & HPA axis dissociation,1
The PREPARE-2 Study Group consists of,1
The GOPCABE study group,1
Permits,1
Material,1
Affiliations CARDIoGRAM,1
CLINICAL CENTRES,1
These surgeons contributed significantly by performing all the surgical biopsies:,1
Affiliations CARDIoGRAM plus C4D,1
Membership of the Cardiac Inherited Disease Group New Zealand,1
FINLAND,1
DENMARK,1
CZECH REPUBLIC,1
BELGIUM,1
AUSTRIA,1
"Andalusian Initiative for Advanced Therapies, Junta de Andalucía, Seville, Spain",1
CABIMER (Andalusian Molecular Biology and Regenerative Medicine Centre),1
Hospital Universitario Virgen Macarena–University of Seville,1
Hospital Regional Universitario de Málaga–University of Málaga,1
Research Group Study EudraCT 2008-004015-35:,1
Past members,1
EURALS Consortium,1
HPTN 071 (PopART) study team,1
Other acknowledgments,1
Epidemiologic Survey Committee of the Korean Ophthalmological Society,1
POPPY Sites and Trials Unit (alphabetical),1
POPPY Scientific Steering Committee,1
POPPY Management Team,1
Funding sources/sponsors,1
Named contact (Guarantor),1
Assistance,1
IkidS study team,1
Committee members for RIETE registry,1
Members of the Catalan Diabetes Prevention Research Group,1
The Italian Study Group on Implementation of stroke care coinvestigators,1
IAMDGC consortium members,1
RiMS Special Interest Group (SIG) Psychology and Neuropsychology,1
The Turkish Neonatal Jaundice Registry Data Collaborators,1
CARDIoGRAM members:,1
CARDIoGRAMplusC4D members,1
CNN Collaborative Group,1
The ANRS VESPA2 Study Group,1
Clinical research coordinators and data managers,1
NaDEF investigators,1
Mandatory disclaimer,1
Previously presented,1
Participation follow-up,1
CE-DOSE Investigators,1
The MEDIA consortium,1
Meetings at which data was presented,1
Sequence accessions,1
Affiliation of the REMSTART Trial team members,1
Research project registration,1
Participating hospitals and investigators,1
Methodological and ground support,1
Members of the GLIOCAT Group,1
List of THAOS investigators,1
Acknowledgments and ethical considerations,1
"Recruiting sites (patients recruited/screened): PI, investigators",1
Data management and programming,1
Health economics,1
Neuroimaging adjudicators,1
Serious adverse events adjudicators,1
Vascular events adjudicators,1
Cognition/dementia adjudicators,1
Trial management committee,1
Details of ethics’ committees’ approvals,1
Members of the BEST Trial Research Group,1
The VRC 012 Study Team,1
Presented at meeting,1
COHERE in EuroCoord,1
Data and software availability statement,1
Members of the Madrid Cohort of HIV-Infected mother-infant Pairs,1
Icona foundation study group:,1
Korea Acute Myocardial infarction Registry (KAMIR) investigators,1
List of PodoNet Registry Investigators,1
Statistics New Zealand disclaimer,1
HVTN 094 study group,1
Cores,1
Sites,1
CKD Biomarkers Consortium Investigators:,1
Statistical consultant,1
Fukuyama city,1
Kure city,1
Hiroshima city,1
The Hiroshima ‘Emergency and Weather’ Study-stroke collaborators,1
HepaIcona study group,1
Study management and site investigators,1
List of study committees and investigators in the China Kadoorie Biobank collaborative group,1
Participating medical facilities (22 centers: From north to south),1
The ANRS Methaville study group,1
Study site/ prinicpal investigator,1
COSYCONET consortium,1
ISAB (Industry Scientific Advisory Board),1
Coordinators,1
Site Investigators,1
Steering Committee and Study Cores,1
¶ Parkinson’s Progressions Markers Initiative (PPMI) Authors List,1
Membership of the Childhood Liver Disease Research Network,1
Instituitional review boards approving PMA2020 protocol,1
General,1
Accession codes,1
Local Investigators,1
CATCH Investigators,1
PRospective Observational Multicenter Major Trauma Transfusion (PROMMTT) Study Group:,1
ACKNOWLEDGeMENTs,1
Fluocinolone Acetonide Uveitis Study Group Principal Investigators,1
Acknolwedgement,1
Conflicting interests:,1
Conflicting Interests:,1
"Study Nurses, Monitors and Laboratory Technicians:",1
Investigators:,1
Protocol Advisors:,1
The Staccato Thailand Study Group,1
Ethical Approval and Informed Consent,1
Acknowlegemets,1
ACKNOWLEDGSMENTS,1
Authors' Declaration of Personal Interests,1
STATEMENT OF INTERESTS,1
Other contributions:,1
Data Sharing,1
ACKNOWLEDGEMENT AND CONFLICT OF INTEREST,1
Financial Conflict:,1
CONFLICTS OF INTEREST/ACKNOWLEDGEMENT,1
Authorship:,1
ETHICS APPROVAL AND CONSENT TO PARTICIPATE,1
Grants/Funding:,1
Funding source:,1
AACKNOWLEDGMENTS,1
Sponsor’s Role,1
Supporting Information Available:,1
Acknowelegements,1
Aknolwdegements,1
7. ACKNOWLEDGEMENTS,1
Data and Safety Monitoring Board Members,1
Compliance with Ethics Guideslines,1
ACKNOWLEDGEMENT & CONFLICT OF INTEREST,1
Funding/Conflicts of interest,1
Members of the United Kingdom Inflammatory Bowel Disease Genetics Consortium,1
Members of T2D-GENES consortium and GoT2D consortium,1
The GOBLET Consortium,1
I-Bird (Individual-Based Investigation of Resistance Dissemination) study group members,1
SAXS data and structural models,1
Cyclix consortium members,1
Funding for the study,1
Grant support from Industry:,1
Lecture fees when speaking at the invitation of a commercial sponsor:,1
Consulting fees or paid advisory boards:,1
Name:,1
Disclosure policy,1
Grand support,1
Acknolegdments,1
Compliance with Ethic Guidelines,1
Critical Bone Defect Patient Utility Survey,1
Statistical collaboration form,1
Bibliography,1
Data sharing and supplemental materials,1
Consent fo publication,1
Ethnics approval and consent to participate,1
Washington University Wolfram Study Group Members: in addition to the authors:,1
Source of the work or study,1
Funding/institutional support,1
The Italian GSDII Group,1
On behalf of the Clinical Management Guidelines Writing Group (in alphabetical order):,1
Additional Editorial Assistance,1
Non-Author Contributions,1
4. Acknowledgements,1
ACKNOWLEDGEMENT & CONFLICTS OF INTEREST,1
Student Investigators,1
A Statement of Human and Animal Rights,1
Disclosure of Potential Conflicts Of Interest,1
Disclosures of Potential Conflicts of interest,1
Disclosure of Potential Conflicts of Interst,1
Author Disclosure,1
Disclosure of Potenial Conflicts of Interest,1
Acknowledgments of grant support,1
Author' Contribution,1
Authors' Roles,1
Acknowledgements (including author contributions),1
ACKNOWLEGDGEMENTS,1
ACKNOWLEDGEENTS,1
Ehtical Approvement,1
Details of Ethics Approval,1
A Statement of Informed Consent,1
FINANCIAL SUPPORT AND ACKNOWLEDGMENTS,1
A Conflict of Interest,1
Ethical Aproval,1
Grants/Fellowships Supporting the Writing of the Paper,1
27 Pediatric Obesity and Weight Evaluation Registry site leads/co‐leads and their institutions,1
Country and Regional Data (* equal contribution; listed alphabetically),1
Pooled Analysis and Writing (* equal contribution),1
NCD Risk Factor Collaboration (NCD-RisC),1
Authors’ Disclosure of Potential Conflicts of Interest,1
Disclosure of Potential Conflicts of Interest and Source of Funding,1
ENIGMA COLLABORATORS,1
ETHICAL COMPLIANCE,1
AVAILABILITY OF DATA,1
Contributing studies,1
GRANT SUPPORT AND ACKNOWLEDGEMENTS,1
ACKNOWLEDGMENTS & FUNDING,1
AcknowledgementS,1
ACKNOWLEdGMENTs AND FUNDING,1
15. Acknowledgements,1
6. Acknowlegements,1
3. Acknowledgements,1
6. Acknowledgements,1
Acknowledgment and disclosure,1
Members Of The Adult/Adolescent Spectrum Of HIV Disease Study Group:,1
Human Subjects Protections,1
Funding Acknowledgement:,1
ACKNOWLEDGMENT/GRANT SUPPPORT,1
ACKNOWLDGMENTS AND FUNDING,1
ACKNOWLEDGEMENTS AND AUTHOR CONTRIBUTIONS,1
ACKNOWLEDGMENTS STATEMENT,1
GRANT SUPPORT AND ACKNOWLEGEMENT,1
FUNDING/ACKNOWLEDGMENTS,1
ACKNOWLEGDEMENTS AND FUNDING,1
ACKNOWLEDGMENTS AND FUNDING SUPPORT,1
ACKNOWLEDGMENTS AND FUNDING SOURCES,1
ACKNOWLEDGMENT AND STATEMENT OF AUTHORSHIP,1
ACKNOWLEDGMENTS / FUNDING,1
ACKNOWLEDGMENTS/FUNDING,1
ACKNOWLEDGMENTS AND AUTHORSHIP,1
ACKOWLEDGMENTS AND GRANT SUPPORT,1
ACKNOWLWDGMENTS AND FUNDING,1
ACKNOWLEDGMENTS AND GRANT SUPPORTS,1
ACKNOWLEDGMENTS AND SUPPORT,1
AUTHOR CONTRIBUTION AND ACKNOWLEDGMENT,1
ACKNOWLEDGMENTS AND FUNDS,1
ACKNOWLEDGEMENT AND FUNDING,1
Contributing Partners of the EPICURE Consortium,1
Framingham Heart Study,1
Atherosclerosis Risk in Communities,1
The LNF Study Group,1
InC3 Researcher Acknowledgements,1
Site Data Managers,1
Coordinating Centre,1
InC3 Study Group,1
FIA Study Investigators,1
Participating institutions and ELGAN Study collaborators who made this report possible.,1
FARM58J2XH Study Group,1
Presentation of Results,1
SECOND-LINE Study Group,1
Author Declaration,1
"Rocket I Study Group, UK",1
Stratall ANRS 12110/ESTHER Study Group,1
Partners in Prevention HSV/HIV Transmission Study Team,1
The NeoNed Study Group,1
Investigators and Academic Centers,1
Members of the DeWorm3 Trials Team,1
Members of The TENLEP study group,1
MAL-ED network investigators,1
"Plataforma de Pesquisa Clínica, Vice-Presidência de Pesquisa e Laboratórios de Referência, Fundação Oswaldo Cruz, Rio de Janeiro, Rio de Janeiro",1
"Laboratório de Pesquisa Clínica, e Políticas Públicas em Doenças Infecciosas e Parasitárias, Centro de Pesquisas René Rachou, Fundação Oswaldo Cruz, Belo Horizonte, Minas Gerais",1
"Universidade Federal do Ceará, Hospital São José de Doenças Infecciosas, Fortaleza, Ceará",1
"Hospital Infantil João Paulo II, Fundação Hospitalar do Estado de Minas Gerais, Belo Horizonte, Minas Gerais",1
"Departamento de Doenças Infecciosas, Hospital Universitário Clemente de Faria, Universidade Estadual de Montes Claros, Montes Claros, Minas Gerais",1
"Universidade Federal de Sergipe, Hospital Universitário, Aracaju, Sergipe",1
"Universidade Federal do Piauí, Hospital de Doenças Tropicais Natan Portela, Teresina, Piauí",1
TB036 trial team,1
